icao24,callsign,velocity,baro_altitude,geo_altitude,vertical_rate
7c7ccc,JST530  ,234.39,10629.9,10629.9,5.53
0d0b73,VTM8301 ,176.6,6911.34,7345.68,5.53
503cf9,PGT7SY  ,255.04,7155.18,7482.84,5.53
78923f,CPA2026 ,211.79,6111.24,6507.48,5.53
4075fd,BAW12DT ,241.02,10050.78,10447.02,5.53
780768,CSN398  ,131.16,1363.98,1485.9,5.53
a62b92,N497RB  ,97.83,2560.32,2674.62,5.53
4792a6,NOZ2KU  ,221.48,10965.18,11170.92,5.53
aa2607,JRE753  ,160.26,6461.76,6835.14,5.53
781799,CSN348  ,254.9,8595.36,8961.12,5.53
3ce0f7,PVD447L ,90.45,670.56,754.38,5.53
347503,ECOBG   ,41.01,1737.36,1874.52,5.53
a6152a,EDV5415 ,189.14,4137.66,4343.4,5.53
8014b0,IGO381  ,227.97,10088.88,10683.24,5.53
485789,KLM701  ,226.56,12085.32,12329.16,5.53
4d010b,ICV23V  ,128.28,1219.2,1295.4,5.53
c06800,JZA820  ,243.53,8983.98,9525.0,5.53
151fc4,SBI5007 ,219.44,10972.8,10614.66,5.53
781783,DKH1662 ,257.28,11079.48,11529.06,5.53
847114,FDA146  ,238.6,8816.34,9441.18,5.53
70c109,OMA318  ,232.49,8336.28,8831.58,5.2
89640a,ETD7NZ  ,247.17,8001.0,8412.48,5.2
8964af,UAE6AQ  ,247.2,10386.06,10789.92,5.2
407990,SFY3DB  ,52.12,259.08,358.14,5.2
ad3c1f,ASA336  ,223.28,8968.74,9418.32,5.2
4b1809,SWR502V ,216.39,8884.92,9220.2,5.2
ad6ff2,AAL1938 ,239.86,8313.42,8831.58,5.2
4d2369,RYR33JM ,237.22,9631.68,10020.3,5.2
4d234d,RYR59PR ,224.98,10622.28,11087.1,5.2
06a0df,QTR8942 ,234.31,11231.88,12031.98,5.2
880452,AIQ3411 ,162.12,1744.98,1821.18,5.2
4cade9,ITY085  ,209.4,6560.82,6964.68,5.2
345042,VLG7ZR  ,213.35,9403.08,9845.04,5.2
7c17cd,RSCU500 ,56.94,518.16,693.42,5.2
8a0a67,TNU154  ,229.59,10302.24,10957.56,5.2
a35c0b,JBU1678 ,228.15,8564.88,9083.04,5.2
4bce16,SXS4MV  ,262.0,10005.06,10599.42,5.2
